id,species,generation_id,height,weight,base_experience,type_1,type_2,hp,attack,defense,speed,special-attack,special-defense,description
14,kakuna,1,0.6,10.0,72,bug,poison,45,25,50,35,25,25,"Kakuna remains virtually immobile as it clings to a tree. However, on the inside, it is extremely busy as it prepares for its coming evolution. This is evident from how hot the shell becomes to the touch."
15,beedrill,1,1.0,29.5,178,bug,poison,65,90,40,75,45,80,"Beedrill is extremely territorial. No one should ever approach its nest—this is for their own safety. If angered, they will attack in a furious swarm."
16,pidgey,1,0.3,1.8,50,normal,flying,40,45,40,56,35,35,"Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings."
17,pidgeotto,1,1.1,30.0,122,normal,flying,63,60,55,71,50,50,"Pidgeotto claims a large area as its own territory. This Pokémon flies around, patrolling its living space. If its territory is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws."
18,pidgeot,1,1.5,39.5,216,normal,flying,83,80,75,101,70,70,"This Pokémon has a dazzling plumage of beautifully glossy feathers. Many Trainers are captivated by the striking beauty of the feathers on its head, compelling them to choose Pidgeot as their Pokémon."
19,rattata,1,0.3,3.5,51,normal,,30,56,35,72,25,35,"Rattata is cautious in the extreme. Even while it is asleep, it constantly listens by moving its ears around. It is not picky about where it lives—it will make its nest anywhere."
20,raticate,1,0.7,18.5,145,normal,,55,81,60,97,50,70,"Raticate's sturdy fangs grow steadily. To keep them ground down, it gnaws on rocks and logs. It may even chew on the walls of houses."
21,spearow,1,0.3,2.0,52,normal,flying,40,60,30,70,31,31,"Spearow has a very loud cry that can be heard over half a mile away. If its high, keening cry is heard echoing all around, it is a sign that they are warning each other of danger."
22,fearow,1,1.2,38.0,155,normal,flying,65,90,65,100,61,61,"Fearow is recognized by its long neck and elongated beak. They are conveniently shaped for catching prey in soil or water. It deftly moves its long and skinny beak to pluck prey."
23,ekans,1,2.0,6.9,58,poison,,35,60,44,55,40,54,"Ekans curls itself up in a spiral while it rests. Assuming this position allows it to quickly respond to a threat from any direction with a glare from its upraised head."
24,arbok,1,3.5,65.0,157,poison,,60,95,69,80,65,79,"This Pokémon is terrifically strong in order to constrict things with its body. It can even flatten steel oil drums. Once Arbok wraps its body around its foe, escaping its crunching embrace is impossible."
25,pikachu,1,0.4,6.0,112,electric,,35,55,40,90,50,50,"Whenever Pikachu comes across something new, it blasts it with a jolt of electricity. If you come across a blackened berry, it's evidence that this Pokémon mistook the intensity of its charge."
26,raichu,1,0.8,30.0,218,electric,,60,90,55,110,90,80,"If the electrical sacs become excessively charged, Raichu plants its tail in the ground and discharges. Scorched patches of ground will be found near this Pokémon's nest."
27,sandshrew,1,0.6,12.0,60,ground,,50,75,85,40,20,30,"Sandshrew's body is configured to absorb water without waste, enabling it to survive in an arid desert. This Pokémon curls up to protect itself from its enemies."
28,sandslash,1,1.0,29.5,158,ground,,75,100,110,65,45,55,"Sandslash's body is covered by tough spikes, which are hardened sections of its hide. Once a year, the old spikes fall out, to be replaced with new spikes that grow out from beneath the old ones."
29,nidoran♀,1,0.4,7.0,55,poison,,55,47,52,41,40,40,"Nidoran♀ has barbs that secrete a powerful poison. They are thought to have developed as protection for this small-bodied Pokémon. When enraged, it releases a horrible toxin from its horn."
30,nidorina,1,0.8,20.0,128,poison,,70,62,67,56,55,55,"When Nidorina are with their friends or family, they keep their barbs tucked away to prevent hurting each other. This Pokémon appears to become nervous if separated from the others."
31,nidoqueen,1,1.3,60.0,227,poison,ground,90,92,87,76,75,85,"Nidoqueen's body is encased in extremely hard scales. It is adept at sending foes flying with harsh tackles. This Pokémon is at its strongest when it is defending its young."
32,nidoran♂,1,0.5,9.0,55,poison,,46,57,40,50,40,40,"Nidoran♂ has developed muscles for moving its ears. Thanks to them, the ears can be freely moved in any direction. Even the slightest sound does not escape this Pokémon's notice."
33,nidorino,1,0.9,19.5,128,poison,,61,72,57,65,55,55,"Nidorino has a horn that is harder than a diamond. If it senses a hostile presence, all the barbs on its back bristle up at once, and it challenges the foe with all its might."
34,nidoking,1,1.4,62.0,227,poison,ground,81,102,77,85,85,75,"Nidoking's thick tail packs enormously destructive power. With one swing, it can topple a metal transmission tower. Once this Pokémon goes on a rampage, there is no stopping it."
35,clefairy,1,0.6,7.5,113,fairy,,70,45,48,35,60,65,"On every night of a full moon, groups of this Pokémon come out to play. When dawn arrives, the tired Clefairy return to their quiet mountain retreats and go to sleep nestled up against each other."
36,clefable,1,1.3,40.0,217,fairy,,95,70,73,60,95,90,"Clefable moves by skipping lightly as if it were flying using its wings. Its bouncy step lets it even walk on water. It is known to take strolls on lakes on quiet, moonlit nights."
37,vulpix,1,0.6,9.9,60,fire,,38,41,40,65,50,65,"At the time of its birth, Vulpix has one white tail. The tail separates into six if this Pokémon receives plenty of love from its Trainer. The six tails become magnificently curled."
38,ninetales,1,1.1,19.9,177,fire,,73,76,75,100,81,100,"Ninetales casts a sinister light from its bright red eyes to gain total control over its foe's mind. This Pokémon is said to live for a thousand years."
39,jigglypuff,1,0.5,5.5,95,normal,fairy,115,45,20,20,45,25,"Jigglypuff's vocal cords can freely adjust the wavelength of its voice. This Pokémon uses this ability to sing at precisely the right wavelength to make its foes most drowsy."
40,wigglytuff,1,1.0,12.0,196,normal,fairy,140,70,45,45,85,50,"Wigglytuff has large, saucerlike eyes. The surfaces of its eyes are always covered with a thin layer of tears. If any dust gets in this Pokémon's eyes, it is quickly washed away."
41,zubat,1,0.8,7.5,49,poison,flying,40,45,35,55,30,40,"Zubat remains quietly unmoving in a dark spot during the bright daylight hours. It does so because prolonged exposure to the sun causes its body to become slightly burned."
42,golbat,1,1.6,55.0,159,poison,flying,75,80,70,90,65,75,"Golbat loves to drink the blood of living things. It is particularly active in the pitch black of night. This Pokémon flits around in the night skies, seeking fresh blood."
43,oddish,1,0.5,5.4,64,grass,poison,45,50,55,30,75,65,"During the daytime, Oddish buries itself in soil to absorb nutrients from the ground using its entire body. The more fertile the soil, the glossier its leaves become."
44,gloom,1,0.8,8.6,138,grass,poison,60,65,70,40,85,75,"Gloom releases a foul fragrance from the pistil of its flower. When faced with danger, the stench worsens. If this Pokémon is feeling calm and secure, it does not release its usual stinky aroma."
45,vileplume,1,1.2,18.6,221,grass,poison,75,80,85,50,110,90,"Vileplume's toxic pollen triggers atrocious allergy attacks. That's why it is advisable never to approach any attractive flowers in a jungle, however pretty they may be."
46,paras,1,0.3,5.4,57,bug,grass,35,70,55,25,45,55,"Paras has parasitic mushrooms growing on its back called tochukaso. They grow large by drawing nutrients from this Bug Pokémon host. They are highly valued as a medicine for extending life."
47,parasect,1,1.0,29.5,142,bug,grass,60,95,80,30,60,80,"Parasect is known to infest large trees en masse and drain nutrients from the lower trunk and roots. When an infested tree dies, they move onto another tree all at once."
48,venonat,1,1.0,30.0,61,bug,poison,60,55,50,45,40,55,"Venonat is said to have evolved with a coat of thin, stiff hair that covers its entire body for protection. It possesses large eyes that never fail to spot even minuscule prey."
49,venomoth,1,1.5,12.5,158,bug,poison,70,65,60,90,90,75,"Venomoth is nocturnal—it is a Pokémon that only becomes active at night. Its favorite prey are small insects that gather around streetlights, attracted by the light in the darkness."
50,diglett,1,0.2,0.8,53,ground,,10,55,25,95,35,45,"Diglett are raised in most farms. The reason is simple— wherever this Pokémon burrows, the soil is left perfectly tilled for planting crops. This soil is made ideal for growing delicious vegetables."
51,dugtrio,1,0.7,33.3,149,ground,,35,100,50,120,50,70,"Dugtrio are actually triplets that emerged from one body. As a result, each triplet thinks exactly like the other two triplets. They work cooperatively to burrow endlessly."
52,meowth,1,0.4,4.2,58,normal,,40,45,35,90,40,40,"Meowth withdraws its sharp claws into its paws to slinkily sneak about without making any incriminating footsteps. For some reason, this Pokémon loves shiny coins that glitter with light."
53,persian,1,1.0,32.0,154,normal,,65,70,60,115,65,65,"Persian has six bold whiskers that give it a look of toughness. The whiskers sense air movements to determine what is in the Pokémon's surrounding vicinity. It becomes docile if grabbed by the whiskers."
54,psyduck,1,0.8,19.6,64,water,,50,52,48,55,65,50,"Psyduck uses a mysterious power. When it does so, this Pokémon generates brain waves that are supposedly only seen in sleepers. This discovery spurred controversy among scholars."
55,golduck,1,1.7,76.6,175,water,,80,82,78,85,95,80,"The webbed flippers on its forelegs and hind legs and the streamlined body of Golduck give it frightening speed. This Pokémon is definitely much faster than even the most athletic swimmer."
56,mankey,1,0.5,28.0,61,fighting,,40,80,35,70,35,45,"When Mankey starts shaking and its nasal breathing turns rough, it's a sure sign that it is becoming angry. However, because it goes into a towering rage almost instantly, it is impossible for anyone to flee its wrath."
57,primeape,1,1.0,32.0,159,fighting,,65,105,60,95,60,70,"When Primeape becomes furious, its blood circulation is boosted. In turn, its muscles are made even stronger. However, it also becomes much less intelligent at the same time."
58,growlithe,1,0.7,19.0,70,fire,,55,70,45,60,70,50,"Growlithe has a superb sense of smell. Once it smells anything, this Pokémon won't forget the scent, no matter what. It uses its advanced olfactory sense to determine the emotions of other living things."
59,arcanine,1,1.9,155.0,194,fire,,90,110,80,95,100,80,"Arcanine is known for its high speed. It is said to be capable of running over 6,200 miles in a single day and night. The fire that blazes wildly within this Pokémon's body is its source of power."
60,poliwag,1,0.6,12.4,60,water,,40,50,40,90,40,40,"Poliwag has a very thin skin. It is possible to see the Pokémon's spiral innards right through the skin. Despite its thinness, however, the skin is also very flexible. Even sharp fangs bounce right off it."
61,poliwhirl,1,1.0,20.0,135,water,,65,65,65,90,50,50,"The surface of Poliwhirl's body is always wet and slick with a slimy fluid. Because of this slippery covering, it can easily slip and slide out of the clutches of any enemy in battle."
62,poliwrath,1,1.3,54.0,230,water,fighting,90,95,95,70,70,90,"Poliwrath's highly developed, brawny muscles never grow fatigued, however much it exercises. It is so tirelessly strong, this Pokémon can swim back and forth across the ocean without effort."
63,abra,1,0.9,19.5,62,psychic,,25,20,15,90,105,55,"Abra sleeps for eighteen hours a day. However, it can sense the presence of foes even while it is sleeping. In such a situation, this Pokémon immediately teleports to safety."
64,kadabra,1,1.3,56.5,140,psychic,,40,35,30,105,120,70,"Kadabra emits a peculiar alpha wave if it develops a headache. Only those people with a particularly strong psyche can hope to become a Trainer of this Pokémon."
65,alakazam,1,1.5,48.0,225,psychic,,55,50,45,120,135,95,"Alakazam's brain continually grows, making its head far too heavy to support with its neck. This Pokémon holds its head up using its psychokinetic power instead."
66,machop,1,0.8,19.5,61,fighting,,70,80,50,35,35,35,"Machop's muscles are special—they never get sore no matter how much they are used in exercise. This Pokémon has sufficient power to hurl a hundred adult humans."
67,machoke,1,1.5,70.5,142,fighting,,80,100,70,45,50,60,"Machoke's thoroughly toned muscles possess the hardness of steel. This Pokémon has so much strength, it can easily hold aloft a sumo wrestler on just one finger."
68,machamp,1,1.6,130.0,227,fighting,,90,130,80,55,65,85,"Machamp has the power to hurl anything aside. However, trying to do any work requiring care and dexterity causes its arms to get tangled. This Pokémon tends to leap into action before it thinks."
69,bellsprout,1,0.7,4.0,60,grass,poison,50,75,35,40,70,30,"Bellsprout's thin and flexible body lets it bend and sway to avoid any attack, however strong it may be. From its mouth, this Pokémon spits a corrosive fluid that melts even iron."
70,weepinbell,1,1.0,6.4,137,grass,poison,65,90,50,55,85,45,"Weepinbell has a large hook on its rear end. At night, the Pokémon hooks on to a tree branch and goes to sleep. If it moves around in its sleep, it may wake up to find itself on the ground."
71,victreebel,1,1.7,15.5,221,grass,poison,80,105,65,70,100,70,"Victreebel has a long vine that extends from its head. This vine is waved and flicked about as if it were an animal to attract prey. When an unsuspecting prey draws near, this Pokémon swallows it whole."
72,tentacool,1,0.9,45.5,67,water,poison,40,40,35,70,50,100,"Tentacool's body is largely composed of water. If it is removed from the sea, it dries up like parchment. If this Pokémon happens to become dehydrated, put it back into the sea."
73,tentacruel,1,1.6,55.0,180,water,poison,80,70,65,100,80,120,"Tentacruel has large red orbs on its head. The orbs glow before lashing the vicinity with a harsh ultrasonic blast. This Pokémon's outburst creates rough waves around it."
74,geodude,1,0.4,20.0,60,rock,ground,40,80,100,20,30,30,"The longer a Geodude lives, the more its edges are chipped and worn away, making it more rounded in appearance. However, this Pokémon's heart will remain hard, craggy, and rough always."
75,graveler,1,1.0,105.0,137,rock,ground,55,95,115,35,45,45,"Graveler grows by feeding on rocks. Apparently, it prefers to eat rocks that are covered in moss. This Pokémon eats its way through a ton of rocks on a daily basis."
76,golem,1,1.4,300.0,223,rock,ground,80,120,130,45,55,65,"Golem live up on mountains. If there is a large earthquake, these Pokémon will come rolling down off the mountains en masse to the foothills below."
77,ponyta,1,1.0,30.0,82,fire,,50,85,55,90,65,65,"Ponyta is very weak at birth. It can barely stand up. This Pokémon becomes stronger by stumbling and falling to keep up with its parent."
78,rapidash,1,1.7,95.0,175,fire,,65,100,70,105,80,80,"Rapidash usually can be seen casually cantering in the fields and plains. However, when this Pokémon turns serious, its fiery manes flare and blaze as it gallops its way up to 150 mph."
79,slowpoke,1,1.2,36.0,63,water,psychic,90,65,65,15,40,40,"Slowpoke uses its tail to catch prey by dipping it in water at the side of a river. However, this Pokémon often forgets what it's doing and often spends entire days just loafing at water's edge."
80,slowbro,1,1.6,78.5,172,water,psychic,95,75,110,30,100,80,"Slowbro's tail has a Shellder firmly attached with a bite. As a result, the tail can't be used for fishing anymore. This causes Slowbro to grudgingly swim and catch prey instead."
81,magnemite,1,0.3,6.0,65,electric,steel,25,35,70,45,95,55,"Magnemite attaches itself to power lines to feed on electricity. If your house has a power outage, check your circuit breakers. You may find a large number of this Pokémon clinging to the breaker box."
82,magneton,1,1.0,60.0,163,electric,steel,50,60,95,70,120,70,"Magneton emits a powerful magnetic force that is fatal to mechanical devices. As a result, large cities sound sirens to warn citizens of large-scale outbreaks of this Pokémon."
83,farfetch'd,1,0.8,15.0,132,normal,flying,52,90,55,60,58,62,"Farfetch'd is always seen with a stalk from a plant of some sort. Apparently, there are good stalks and bad stalks. This Pokémon has been known to fight with others over stalks."
84,doduo,1,1.4,39.2,62,normal,flying,35,85,45,75,35,35,"Doduo's two heads never sleep at the same time. Its two heads take turns sleeping, so one head can always keep watch for enemies while the other one sleeps."
85,dodrio,1,1.8,85.2,165,normal,flying,60,110,70,110,60,60,"Watch out if Dodrio's three heads are looking in three separate directions. It's a sure sign that it is on its guard. Don't go near this Pokémon if it's being wary—it may decide to peck you."
86,seel,1,1.1,90.0,65,water,,65,45,55,45,45,70,"Seel hunts for prey in the frigid sea underneath sheets of ice. When it needs to breathe, it punches a hole through the ice with the sharply protruding section of its head."
87,dewgong,1,1.7,120.0,166,water,ice,90,70,80,70,70,95,"Dewgong loves to snooze on bitterly cold ice. The sight of this Pokémon sleeping on a glacier was mistakenly thought to be a mermaid by a mariner long ago."
88,grimer,1,0.9,30.0,65,poison,,80,80,50,25,40,50,"Grimer's sludgy and rubbery body can be forced through any opening, however small it may be. This Pokémon enters sewer pipes to drink filthy wastewater."
89,muk,1,1.2,30.0,175,poison,,105,105,75,50,65,100,"From Muk's body seeps a foul fluid that gives off a nose-bendingly horrible stench. Just one drop of this Pokémon's body fluid can turn a pool stagnant and rancid."
90,shellder,1,0.3,4.0,61,water,,30,65,100,40,45,25,"At night, this Pokémon uses its broad tongue to burrow a hole in the seafloor sand and then sleep in it. While it is sleeping, Shellder closes its shell, but leaves its tongue hanging out."
91,cloyster,1,1.5,132.5,184,water,ice,50,95,180,70,85,45,"Cloyster is capable of swimming in the sea. It does so by swallowing water, then jetting it out toward the rear. This Pokémon shoots spikes from its shell using the same system."
92,gastly,1,1.3,0.1,62,ghost,poison,30,35,30,80,100,35,"Gastly is largely composed of gaseous matter. When exposed to a strong wind, the gaseous body quickly dwindles away. Groups of this Pokémon cluster under the eaves of houses to escape the ravages of wind."
93,haunter,1,1.6,0.1,142,ghost,poison,45,50,45,95,115,55,"Haunter is a dangerous Pokémon. If one beckons you while floating in darkness, you must never approach it. This Pokémon will try to lick you with its tongue and steal your life away."
94,gengar,1,1.5,40.5,225,ghost,poison,60,65,60,110,130,75,"Sometimes, on a dark night, your shadow thrown by a streetlight will suddenly and startlingly overtake you. It is actually a Gengar running past you, pretending to be your shadow."
95,onix,1,8.8,210.0,77,rock,ground,35,45,160,70,30,45,"Onix has a magnet in its brain. It acts as a compass so that this Pokémon does not lose direction while it is tunneling. As it grows older, its body becomes increasingly rounder and smoother."
96,drowzee,1,1.0,32.4,66,psychic,,60,48,45,42,43,90,"If your nose becomes itchy while you are sleeping, it's a sure sign that one of these Pokémon is standing above your pillow and trying to eat your dream through your nostrils."
97,hypno,1,1.6,75.6,169,psychic,,85,73,70,67,73,115,"Hypno holds a pendulum in its hand. The arcing movement and glitter of the pendulum lull the foe into a deep state of hypnosis. While this Pokémon searches for prey, it polishes the pendulum."
98,krabby,1,0.4,6.5,65,water,,30,105,90,50,25,25,"Krabby live on beaches, burrowed inside holes dug into the sand. On sandy beaches with little in the way of food, these Pokémon can be seen squabbling with each other over territory."
99,kingler,1,1.3,60.0,166,water,,55,130,115,75,50,50,"Kingler has an enormous, oversized claw. It waves this huge claw in the air to communicate with others. However, because the claw is so heavy, the Pokémon quickly tires."
100,voltorb,1,0.5,10.4,66,electric,,40,30,50,100,55,55,"Voltorb was first sighted at a company that manufactures Poké Balls. The link between that sighting and the fact that this Pokémon looks very similar to a Poké Ball remains a mystery."
101,electrode,1,1.2,66.6,172,electric,,60,50,70,150,80,80,"Electrode eats electricity in the atmosphere. On days when lightning strikes, you can see this Pokémon exploding all over the place from eating too much electricity."
102,exeggcute,1,0.4,2.5,65,grass,psychic,60,40,80,40,60,45,"This Pokémon consists of six eggs that form a closely knit cluster. The six eggs attract each other and spin around. When cracks increasingly appear on the eggs, Exeggcute is close to evolution."
103,exeggutor,1,2.0,120.0,186,grass,psychic,95,95,85,55,125,75,"Exeggutor originally came from the tropics. Its heads steadily grow larger from exposure to strong sunlight. It is said that when the heads fall off, they group together to form Exeggcute."
104,cubone,1,0.4,6.5,64,ground,,50,50,95,35,40,50,"Cubone pines for the mother it will never see again. Seeing a likeness of its mother in the full moon, it cries. The stains on the skull the Pokémon wears are made by the tears it sheds."
105,marowak,1,1.0,45.0,149,ground,,60,80,110,45,50,80,"Marowak is the evolved form of a Cubone that has overcome its sadness at the loss of its mother and grown tough. This Pokémon's tempered and hardened spirit is not easily broken."
106,hitmonlee,1,1.5,49.8,159,fighting,,50,120,53,87,35,110,"Hitmonlee's legs freely contract and stretch. Using these springlike legs, it bowls over foes with devastating kicks. After battle, it rubs down its legs and loosens the muscles to overcome fatigue."
107,hitmonchan,1,1.4,50.2,159,fighting,,50,105,79,76,35,110,"Hitmonchan is said to possess the spirit of a boxer who had been working toward a world championship. This Pokémon has an indomitable spirit and will never give up in the face of adversity."
108,lickitung,1,1.2,65.5,77,normal,,90,55,75,30,60,75,"Whenever Lickitung comes across something new, it will unfailingly give it a lick. It does so because it memorizes things by texture and by taste. It is somewhat put off by sour things."
109,koffing,1,0.6,1.0,68,poison,,40,65,95,35,60,45,"If Koffing becomes agitated, it raises the toxicity of its internal gases and jets them out from all over its body. This Pokémon may also overinflate its round body, then explode."
110,weezing,1,1.2,9.5,172,poison,,65,90,120,60,85,70,"Weezing loves the gases given off by rotted kitchen garbage. This Pokémon will find a dirty, unkempt house and make it its home. At night, when the people in the house are asleep, it will go through the trash."
111,rhyhorn,1,1.0,115.0,69,ground,rock,80,85,95,25,30,30,"Rhyhorn runs in a straight line, smashing everything in its path. It is not bothered even if it rushes headlong into a block of steel. This Pokémon may feel some pain from the collision the next day, however."
112,rhydon,1,1.9,120.0,170,ground,rock,105,130,120,40,45,45,"Rhydon's horn can crush even uncut diamonds. One sweeping blow of its tail can topple a building. This Pokémon's hide is extremely tough. Even direct cannon hits don't leave a scratch."
113,chansey,1,1.1,34.6,395,normal,,250,5,5,50,35,105,"Chansey lays nutritionally excellent eggs on an everyday basis. The eggs are so delicious, they are easily and eagerly devoured by even those people who have lost their appetite."
114,tangela,1,1.0,35.0,87,grass,,65,55,115,60,100,40,"Tangela's vines snap off easily if they are grabbed. This happens without pain, allowing it to make a quick getaway. The lost vines are replaced by newly grown vines the very next day."
115,kangaskhan,1,2.2,80.0,172,normal,,105,95,80,90,40,80,"If you come across a young Kangaskhan playing by itself, you must never disturb it or attempt to catch it. The baby Pokémon's parent is sure to be in the area, and it will become violently enraged at you."
116,horsea,1,0.4,8.0,59,water,,30,40,70,60,70,25,"Horsea eats small insects and moss off of rocks. If the ocean current turns fast, this Pokémon anchors itself by wrapping its tail around rocks or coral to prevent being washed away."
117,seadra,1,1.2,25.0,154,water,,55,65,95,85,95,45,"Seadra sleeps after wriggling itself between the branches of coral. Those trying to harvest coral are occasionally stung by this Pokémon's poison barbs if they fail to notice it."
118,goldeen,1,0.6,15.0,64,water,,45,67,60,63,35,50,"Goldeen is a very beautiful Pokémon with fins that billow elegantly in water. However, don't let your guard down around this Pokémon—it could ram you powerfully with its horn."
119,seaking,1,1.3,39.0,158,water,,80,92,65,68,65,80,"In the autumn, Seaking males can be seen performing courtship dances in riverbeds to woo females. During this season, this Pokémon's body coloration is at its most beautiful."
120,staryu,1,0.8,34.5,68,water,,30,45,55,85,70,55,"Staryu's center section has an organ called the core that shines bright red. If you go to a beach toward the end of summer, the glowing cores of these Pokémon look like the stars in the sky."
121,starmie,1,1.1,80.0,182,water,psychic,60,75,85,115,100,85,"Starmie's center section—the core—glows brightly in seven colors. Because of its luminous nature, this Pokémon has been given the nickname "“the gem of the sea."
122,mr mime,1,1.3,54.5,161,psychic,fairy,40,45,65,90,100,120,"Mr. Mime is a master of pantomime. Its gestures and motions convince watchers that something unseeable actually exists. Once the watchers are convinced, the unseeable thing exists as if it were real."
123,scyther,1,1.5,56.0,100,bug,flying,70,110,80,105,55,80,"Scyther is blindingly fast. Its blazing speed enhances the effectiveness of the twin scythes on its forearms. This Pokémon's scythes are so effective, they can slice through thick logs in one wicked stroke."
124,jynx,1,1.4,40.6,159,ice,psychic,65,50,35,95,115,95,"Jynx walks rhythmically, swaying and shaking its hips as if it were dancing. Its motions are so bouncingly alluring, people seeing it are compelled to shake their hips without giving any thought to what they are doing."
125,electabuzz,1,1.1,30.0,172,electric,,65,83,57,105,95,85,"When a storm arrives, gangs of this Pokémon compete with each other to scale heights that are likely to be stricken by lightning bolts. Some towns use Electabuzz in place of lightning rods."
126,magmar,1,1.3,44.5,173,fire,,65,95,57,93,100,85,"In battle, Magmar blows out intensely hot flames from all over its body to intimidate its opponent. This Pokémon's fiery bursts create heat waves that ignite grass and trees in its surroundings."
127,pinsir,1,1.5,55.0,175,bug,,65,125,100,85,55,70,"Pinsir is astoundingly strong. It can grip a foe weighing twice its weight in its horns and easily lift it. This Pokémon's movements turn sluggish in cold places."
128,tauros,1,1.4,88.4,172,normal,,75,100,95,110,40,70,"This Pokémon is not satisfied unless it is rampaging at all times. If there is no opponent for Tauros to battle, it will charge at thick trees and knock them down to calm itself."
129,magikarp,1,0.9,10.0,40,water,,20,10,55,80,15,20,"Magikarp is a pathetic excuse for a Pokémon that is only capable of flopping and splashing. This behavior prompted scientists to undertake research into it."
130,gyarados,1,6.5,235.0,189,water,flying,95,125,79,81,60,100,"When Magikarp evolves into Gyarados, its brain cells undergo a structural transformation. It is said that this transformation is to blame for this Pokémon's wildly violent nature."
131,lapras,1,2.5,220.0,187,water,ice,130,85,80,60,85,95,"People have driven Lapras almost to the point of extinction. In the evenings, this Pokémon is said to sing plaintively as it seeks what few others of its kind still remain."
132,ditto,1,0.3,4.0,101,normal,,48,48,48,48,48,48,"Ditto rearranges its cell structure to transform itself into other shapes. However, if it tries to transform itself into something by relying on its memory, this Pokémon manages to get details wrong."
133,eevee,1,0.3,6.5,65,normal,,55,55,50,55,45,65,"Eevee has an unstable genetic makeup that suddenly mutates due to the environment in which it lives. Radiation from various stones causes this Pokémon to evolve."
134,vaporeon,1,1.0,29.0,184,water,,130,65,60,65,110,95,"Vaporeon underwent a spontaneous mutation and grew fins and gills that allow it to live underwater. This Pokémon has the ability to freely control water."
135,jolteon,1,0.8,24.5,184,electric,,65,65,60,130,110,95,"Jolteon's cells generate a low level of electricity. This power is amplified by the static electricity of its fur, enabling the Pokémon to drop thunderbolts. The bristling fur is made of electrically charged needles."
136,flareon,1,0.9,25.0,184,fire,,65,130,60,65,95,110,"Flareon's fluffy fur has a functional purpose—it releases heat into the air so that its body does not get excessively hot. This Pokémon's body temperature can rise to a maximum of 1,650 degrees Fahrenheit."
137,porygon,1,0.8,36.5,79,normal,,65,60,70,40,85,75,"Porygon is capable of reverting itself entirely back to program data and entering cyberspace. This Pokémon is copy protected so it cannot be duplicated by copying."
138,omanyte,1,0.4,7.5,71,rock,water,35,40,100,35,90,55,"Omanyte is one of the ancient and long-since-extinct Pokémon that have been regenerated from fossils by people. If attacked by an enemy, it withdraws itself inside its hard shell."
139,omastar,1,1.0,35.0,173,rock,water,70,60,125,55,115,70,"Omastar uses its tentacles to capture its prey. It is believed to have become extinct because its shell grew too large and heavy, causing its movements to become too slow and ponderous."
